Brand,Item,Calories,Protein (g),Fitness Ratio
Taco Bell,Nacho Cheese Doritos Locos Taco,170,8,21.25
Taco Bell,Cheesy Nacho Taco Dinner Kit,300,8,37.5
Taco Bell,Taco Night- Shredded Cheddar Cheese,110,6,18.333333333333332
Taco Bell,Fiesta Taco Salad Nachos,1370,30,45.666666666666664
Taco Bell,Fresco Crunchy Taco - Beef,140,6,23.333333333333332
Taco Bell,Spicy Potato Soft Taco,230,5,46
Taco Bell,Breakfast Soft Taco - Sausage,230,9,25.555555555555557
Taco Bell,Express Fiesta Taco Salad (regional),560,21,26.666666666666668
Taco Bell,Patriot Ale (Draft),230,1,230
Taco Bell,Copperhead Red (Draft),240,3,80
Taco Bell,Landshark Lager (Draft),200,2,100
Taco Bell,Heineken (12 oz),140,2,70
Taco Bell,Tecate Light (Draft),140,1,140
Taco Bell,Michelob Ultra (Draft),130,1,130
Taco Bell,Black Beans & Rice,170,4,42.5
Taco Bell,Chalupa Supreme - Chicken,330,16,20.625
Taco Bell,Breakfast Crunchwrap - Sausage,690,21,32.857142857142854
Taco Bell,7-Layer Burrito,420,13,32.30769230769231
Taco Bell,Pintos 'n Cheese,170,9,18.88888888888889
Taco Bell,Cheesy Potato Griller,340,8,42.5
Taco Bell,7-Layer Blend,110,6,18.333333333333332
Taco Bell,Mild Tortilla Chips,300,4,75
Taco Bell,Breakfast Quesadilla - Steak,500,29,17.24137931034483
Taco Bell,Chicken Enchilada Nachos,1080,28,38.57142857142857
Taco Bell,Corona Extra (Draft),200,2,100
Taco Bell,Bud Light (Draft),150,1,150
Taco Bell,Heineken Light (Draft),130,1,130
Taco Bell,Corona Light (Draft),130,1,130
Taco Bell,Bean Burrito (V),350,13,26.923076923076923
Taco Bell,Crunchy Taco,170,8,21.25
Taco Bell,Nachos BellGrande,740,16,46.25
Taco Bell,Crunchy Taco Supreme,190,8,23.75
Taco Bell,Soft Taco - Chicken,170,10,17
Taco Bell,Soft Taco - Beef,180,9,20
Taco Bell,Crunchy Taco Shells,160,2,80
Taco Bell,Bell Tower Cerveza (Draft),140,2,70
Taco Bell,Bell Tower Cerveza (12 oz),110,2,55
Taco Bell,Nachos BellGrande - Chicken,720,20,36
Taco Bell,Nachos BellGrande - Steak,720,19,37.89473684210526
Taco Bell,Hash Brown,160,1,160
Taco Bell,Quesadilla - Cheese,450,19,23.68421052631579
Taco Bell,Quesadilla - Chicken,500,27,18.51851851851852
Taco Bell,Mexican Pizza,530,19,27.894736842105264
Taco Bell,Quesarito - Steak,630,24,26.25
Taco Bell,Seasoned Rice,120,2,60
Taco Bell,Rainforest Coffee,10,2,5
Taco Bell,Refried Beans,45,1,45
Taco Bell,Zesty Ranch,100,6,16.666666666666668
Taco Bell,Nacho Fries,320,4,80
Taco Bell,Black Beans,50,2,25
Taco Bell,Chipotle Sauce,110,0.5,220
Taco Bell,Soft Taco Supreme - Beef,210,10,21
Taco Bell,Breakfast Soft Taco - Bacon,230,12,19.166666666666668
Taco Bell,Nachos Supreme,430,11,39.09090909090909
Taco Bell,Quesadilla - Steak,500,27,18.51851851851852
Taco Bell,Cinnamon Twists,170,1,170
Taco Bell,Budweiser (Draft),190,2,95
Taco Bell,Quesarito - Beef,650,21,30.952380952380953
Taco Bell,Breakfast Soft Taco - Egg & Cheese,170,7,24.285714285714285
Taco Bell,Fresco Soft Taco - Shredded Chicken,150,9,16.666666666666668
Taco Bell,Pacifico (Draft),190,1,190
Taco Bell,Heineken (Draft),190,3,63.333333333333336
Taco Bell,Seasoned Rice (V),120,2,60
Taco Bell,Triple Layer Nachos,320,5,64
Taco Bell,Burrito Supreme - Beef,390,16,24.375
Taco Bell,Breakfast Crunchwrap - Bacon,650,21,30.952380952380953
Taco Bell,Shredded Chicken Burrito,420,14,30
Taco Bell,Burrito Supreme - Chicken,370,19,19.473684210526315
Taco Bell,Diablo Hot Sauce,140,2,70
Taco Bell,Fire! Tortilla Chips,300,4,75
Taco Bell,Grated Cheese Topping,20,1,20
Taco Bell,Cheddar Crisps- Nacho,160,14,11.428571428571429
Taco Bell,Beer - General (Draft),200,2,100
Taco Bell,Black Beans (V),50,2,25
Taco Bell,Quesadilla - Cheese (V),450,19,23.68421052631579
Taco Bell,Cheesy Fiesta Potatoes,230,3,76.66666666666667
Taco Bell,Chips and Guacamole,230,2,115
Taco Bell,Fresco Bean Burrito,330,11,30
Taco Bell,Beefy Fritos Burrito,440,13,33.84615384615385
Taco Bell,Chalupa Supreme - Steak,330,15,22
Taco Bell,Burrito Supreme - Steak,370,18,20.555555555555557
Taco Bell,Cheesy Gordita Crunch,500,20,25
Taco Bell,Tropicana Orange Juice,140,2,70
Taco Bell,Tortilla Chips- Fire!,140,2,70
Taco Bell,Tortilla Chips- Mild,140,2,70
Taco Bell,Tortilla Chips- Mild,150,2,75
Taco Bell,Tortilla Chips- Mild,150,2,75
Taco Bell,Breakfast Quesadilla - Bacon,510,26,19.615384615384617
Taco Bell,Breakfast Soft Taco - Egg & Cheese (V),170,7,24.285714285714285
Taco Bell,Lagunitas IPA (Draft),250,4,62.5
Taco Bell,Budweiser (12 oz),150,1,150
Taco Bell,Modelo Negra (Draft),240,2,120
Taco Bell,Tecate Original (Draft),190,1,190
Taco Bell,Firestone 805 (Draft),200,2,100
Taco Bell,Corona Premier (Draft),120,1,120
Taco Bell,Black Bean Quesarito,630,19,33.1578947368421
Taco Bell,Breakfast Crunchwrap - Steak,640,24,26.666666666666668
Taco Bell,Mexi-Melty Cheeses,100,6,16.666666666666668
Taco Bell,Iced Regular Coffee,10,2,5
Taco Bell,Sausage Flatbread Quesadilla,330,14,23.571428571428573
Taco Bell,Mini Skillet Bowl,180,5,36
Taco Bell,Breakfast Quesadilla - Sausage,500,24,20.833333333333332
Taco Bell,Lagunitas IPA (Draft),250,4,62.5
