Brand,Item,Calories,Protein (g),Fitness Ratio
McDonald's,Southern Style Sweet Tea- Large,200,1,200
McDonald's,Minute Maid Orange Juice- Value,110,2,55
McDonald's,Green Chili Double Cheeseburger (New York),390,23,16.956521739130434
McDonald's,Southern Style Buttermilk Crispy Chicken Sandwich,470,25,18.8
McDonald's,Quarter Pounder Cheddar Bacon Onion,770,44,17.5
McDonald's,Hot N' Spicy McChicken Deluxe,510,20,25.5
McDonald's,Lemon Poppy Seed Muffin Topper,150,2,75
McDonald's,Big Breakfast Bacon Scrambled and Biscuit,690,30,23
McDonald's,Hot N Spicy McChicken Scratch Biscuit,460,14,32.857142857142854
McDonald's,Big Breakfast Steak Scrambled with Biscuit,710,31,22.903225806451612
McDonald's,Triple Bacon Cheeseburger (New York),590,38,15.526315789473685
McDonald's,Fruit & Maple Oatmeal without Brown Sugar,260,6,43.333333333333336
McDonald's,Newman's Own Creamy Southwest Dressing,110,1,110
McDonald's,Big Breakfast with Egg Whites,670,24,27.916666666666668
McDonald's,McFlurry with Kit Kat- Regular,680,15,45.333333333333336
McDonald's,Cold Brew Frozen Coffee- Small,290,6,48.333333333333336
McDonald's,Southern Style Sweet Tea- Gallon,2110,4,527.5
McDonald's,Mixed Berry and Lemon Creme Pie,290,3,96.66666666666667
McDonald's,Bacon- Egg & Cheese Scratch Biscuit,480,19,25.263157894736842
McDonald's,Chocolate Peanut Butter Ice Cream,340,6,56.666666666666664
McDonald's,Waffle Cone Sundae With Fudge Topping,430,9,47.77777777777778
McDonald's,Sweet Tea- Medium No Ice,200,1,200
McDonald's,Iced French Vanilla Latte- Small,190,7,27.142857142857142
McDonald's,Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,490,33,14.848484848484848
McDonald's,Bacon- Egg & Cheese Bagel with Egg Whites,510,25,20.4
McDonald's,Go-Gurt Strawberry Flavored Low Fat Yogurt Tube,50,3,16.666666666666668
McDonald's,Double Quarter Pounder With Cheese (New York),770,51,15.098039215686274
McDonald's,Big Breakfast Steak Hotcakes Scrambled with Biscuit,1290,40,32.25
McDonald's,Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,790,39,20.256410256410255
McDonald's,Quarter Pounder with Cheese Bacon,640,39,16.41025641025641
McDonald's,1% Low Fat Milk Jug,100,8,12.5
McDonald's,Big Breakfast Sausage and English Muffin,640,26,24.615384615384617
McDonald's,Hot Fudge Sundae with Compostable Packaging,330,8,41.25
McDonald's,Baked Cherry and Creme Pie,290,3,96.66666666666667
McDonald's,Southern Style Sweet Tea- Gallon,2110,4,527.5
McDonald's,Mixed Berry and Lemon Creme Pie,290,3,96.66666666666667
McDonald's,Bacon- Egg & Cheese Scratch Biscuit,480,19,25.263157894736842
McDonald's,Chocolate Peanut Butter Ice Cream,340,6,56.666666666666664
McDonald's,Waffle Cone Sundae With Fudge Topping,430,9,47.77777777777778
McDonald's,Sweet Tea- Medium No Ice,200,1,200
McDonald's,Iced French Vanilla Latte- Small,190,7,27.142857142857142
McDonald's,Premium Bacon Ranch Salad with Grilled Chicken,320,42,7.619047619047619
McDonald's,Premium Southwest Salad with Buttermilk Crispy Chicken,520,28,18.571428571428573
McDonald's,McFlurry with M&M's Chocolate Candies- Snack Size,420,9,46.666666666666664
McDonald's,Sweet N' Spicy Honey BBQ Glazed Tenders (4 piece),640,39,16.41025641025641
McDonald's,Mighty Kids Meal Fat Free Chocolate Milk Jug,130,9,14.444444444444445
McDonald's,Old Bay Double Filet-O-Fish Sandwich,540,29,18.620689655172413
McDonald's,Mushroom & Swiss Artisan Grilled Chicken Sandwich,580,42,13.80952380952381
McDonald's,Bacon Smokehouse Artisan Grilled Chicken Sandwich,750,55,13.636363636363637
McDonald's,Grilled Onion Cheddar Burger Triple,530,32,16.5625
McDonald's,Southern Style Sweet Tea- Large,200,1,200
McDonald's,Minute Maid Orange Juice- Value,110,2,55
McDonald's,Green Chili Double Cheeseburger (New York),390,23,16.956521739130434
McDonald's,Southern Style Buttermilk Crispy Chicken Sandwich,470,25,18.8
McDonald's,Quarter Pounder Cheddar Bacon Onion,770,44,17.5
McDonald's,Hot N' Spicy McChicken Deluxe,510,20,25.5
McDonald's,Lemon Poppy Seed Muffin Topper,150,2,75
McDonald's,Big Breakfast Bacon Scrambled and Biscuit,690,30,23
McDonald's,Hot N Spicy McChicken Scratch Biscuit,460,14,32.857142857142854
McDonald's,Big Breakfast Steak Scrambled with Biscuit,710,31,22.903225806451612
McDonald's,Triple Bacon Cheeseburger (New York),590,38,15.526315789473685
McDonald's,Double Quarter Pounder with Cheese,770,51,15.098039215686274
McDonald's,Side Fruit 'n Yogurt Parfait,150,4,37.5
McDonald's,McFlurry with M&M's Chocolate Candies,630,13,48.46153846153846
McDonald's,Minute Maid Orange Juice- Medium,200,3,66.66666666666667
McDonald's,Premium Bacon Ranch Salad without Chicken,190,14,13.571428571428571
McDonald's,Sausage Biscuit with Egg Whites,490,17,28.823529411764707
McDonald's,Buttermilk Crispy Tenders (2 piece),250,20,12.5
McDonald's,Blueberry Muffin Main Street Gourmet,400,7,57.142857142857146
McDonald's,Buffalo Bacon Buttermilk Crispy Chicken Sandwich,680,36,18.88888888888889
McDonald's,Turkey Sausage and Tomatillo Scramble Bowl,330,29,11.379310344827585
McDonald's,Southern Style Sweet Tea- Medium No Ice,270,1,270
McDonald's,Bacon- Egg & Cheese Biscuit with Egg Whites,410,18,22.77777777777778
McDonald's,Mighty Kids Meal 1% Low Fat Milk Jug,100,8,12.5
McDonald's,Happy Meal Fat Free Chocolate Milk Jug,130,9,14.444444444444445
McDonald's,Big Breakfast Bacon Sausage Scrambled with Hotcakes and Muffin,1310,40,32.75
McDonald's,Mighty Kids Meal Go-Gurt Strawberry Flavored Low Fat Yogurt Tube,50,3,16.666666666666668
McDonald's,Happy Meal Go-Gurt Strawberry Flavored Low Fat Yogurt Tube,50,3,16.666666666666668
